"Table1","Table2","JoinByTable1","JoinByTable2"
"mmg_soilPcrAmplification_16S","mmg_soilRawDataFiles","Not fully automatable: Filter the raw data table to only 16S samples, then join on dnaSampleID","Not fully automatable: Filter the raw data table to only 16S samples, then join on dnaSampleID"
"mmg_soilPcrAmplification_ITS","mmg_soilRawDataFiles","Not fully automatable: Filter the raw data table to only ITS samples, then join on dnaSampleID","Not fully automatable: Filter the raw data table to only ITS samples, then join on dnaSampleID"
"mga_batchResults","mga_soilGroupAbundances","batchID","batchID"
"mga_soilGroupAbundances","sls_soilCoreCollection","geneticSampleID","geneticSampleID"
"mga_labSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"dsc_fieldData","dsc_individualFieldData","recorduid","recorduid"
"dsc_fieldDataADCP","Any other table","Join not recommended: ADCP data collection is carried out at river sites; individual discharge measurements are made at stream sites.","Join not recommended: ADCP data collection is carried out at river sites; individual discharge measurements are made at stream sites."
"apl_clipHarvest","apl_biomass","fieldID","fieldID"
"apl_clipHarvest","apl_plantExternalLabDataPerSample","Requires intermediate table: join via apl_biomass table",""
"apl_biomass","apl_plantExternalLabDataPerSample","chemSubsampleID","sampleID"
"apl_plantExternalLabQA","Any other table","Join not recommended. Data resolution does not match other tables.",""
"asi_externalLabPOMSummaryData","Any other table","Join not recommended. Data resolution does not match other tables.",""
"apl_clipHarvest","apl_pointTransect","eventID","eventID"
"apl_clipHarvest","apc_morphospecies","Not fully automatable: Records can be connected by siteID and morphospeciesID, and overlap of collectDate with morphospeciesCreated and morphospeciesResolved dates","Not fully automatable: Records can be connected by siteID and morphospeciesID, and overlap of collectDate with morphospeciesCreated and morphospeciesResolved dates"
"apl_clipHarvest","apl_algaeExternalLabDataPerSample","sampleID","sampleID"
"apl_clipHarvest","apl_biomass","fieldID","fieldID"
"apl_biomass","apl_taxonomyRaw","sampleID","sampleID"
"apl_biomass","apl_taxonomyProcessed","sampleID","sampleID"
"apl_clipHarvest","apl_taxonomyRaw","Requires intermediate table: Join via apl_biomass table","Requires intermediate table: Join via apl_biomass table"
"apl_clipHarvest","apl_taxonomyProcessed","Requires intermediate table: Join via apl_biomass table","Requires intermediate table: Join via apl_biomass table"
"apl_taxonomyRaw","apl_taxonomyProcessed","sampleID","sampleID"
"apc_morphospecies","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"apc_perTaxon","apc_taxonomyRaw","sampleID","sampleID"
"apc_perTaxon","apc_taxonomyProcessed","sampleID","sampleID"
"apc_pointTransect","apc_perTaxon","namedLocation,pointNumber","namedLocation,pointNumber"
"apc_pointTransect","apc_taxonomyProcessed","Requires intermediate table: join via apc_perTaxon table","Requires intermediate table: join via apc_perTaxon table"
"apc_pointTransect","apc_taxonomyRaw","Requires intermediate table: join via apc_perTaxon table","Requires intermediate table: join via apc_perTaxon table"
"apc_taxonomyProcessed","apc_taxonomyRaw","sampleID","sampleID"
"apc_voucher","apc_voucherTaxonomyRaw","sampleID","sampleID"
"apc_voucher","apc_voucherTaxonomyProcessed","sampleID","sampleID"
"apc_morphospecies","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"apc_voucher","Any other table","Join to tables other than the voucher taxonomy tables is not recommended.","Join to tables other than the voucher taxonomy tables is not recommended."
"mcc_benthicTaxonTableMetadata_16S","mcc_benthicTaxonTableMetadata_ITS","dnaSampleID","dnaSampleID"
"mcc_taxonTableLabSummary","mcc_benthicTaxonTableMetadata_16S","testMethod","testMethod"
"mcc_taxonTableLabSummary","mcc_benthicTaxonTableMetadata_ITS","testMethod","testMethod"
"gwc_fieldSuperParent","gwc_fieldData","parentSampleID","parentSampleID"
"gwc_fieldData","gwc_domainLabData","parentSampleID","parentSampleID"
"gwc_fieldData","gwc_externalLabDataByAnalyte","Not fully automatable: sampleID in gwc_externalLabDataByAnalyte corresponds to filtSampleID, filtNutSampleID, rawSampleID, rawNutSampleID, pcnSampleID, and dicSampleID in gwc_fieldData","Not fully automatable: sampleID in gwc_externalLabDataByAnalyte corresponds to filtSampleID, filtNutSampleID, rawSampleID, rawNutSampleID, pcnSampleID, and dicSampleID in gwc_fieldData"
"gwc_domainLabData","gwc_externalLabDataByAnalyte","Requires intermediate table: join via gwc_fieldData table","Requires intermediate table: join via gwc_fieldData table"
"gwc_domainLabData","gwc_fieldSuperParent","parentSampleID","parentSampleID"
"gwc_domainLabData","gwc_wellStabilization","parentSampleID","parentSampleID"
"gwc_externalLabDataByAnalyte","gwc_fieldSuperParent","Requires intermediate table: join via gwc_fieldData table","Requires intermediate table: join via gwc_fieldData table"
"gwc_externalLabDataByAnalyte","gwc_wellStabilization","Join not recommended: data resolutions are very different. ","Join not recommended: data resolutions are very different. "
"gwc_fieldData","gwc_wellStabilization","parentSampleID","parentSampleID"
"gwc_fieldSuperParent","gwc_wellStabilization","parentSampleID","parentSampleID"
"swc_externalLabSummaryData","Any other table","Join not recommended. Relevant quality control data can be connected to analytes by overlap of analysisDate with labSpecific start and end dates.","Join not recommended. Relevant quality control data can be connected to analytes by overlap of analysisDate with labSpecific start and end dates."
"swc_fieldSuperParent","swc_fieldData","parentSampleID","parentSampleID"
"swc_fieldData","swc_domainLabData","parentSampleID","parentSampleID"
"swc_fieldData","swc_externalLabDataByAnalyte","Not fully automatable: sampleID in swc_externalLabDataByAnalyte corresponds to filtSampleID, filtNutSampleID, rawSampleID, rawNutSampleID, and pcnSampleID in swc_fieldData","Not fully automatable: sampleID in swc_externalLabDataByAnalyte corresponds to filtSampleID, filtNutSampleID, rawSampleID, rawNutSampleID, and pcnSampleID in swc_fieldData"
"swc_asiPOMFieldData","swc_domainLabData","parentSampleID","parentSampleID"
"swc_asiPOMFieldData","swc_externalLabDataByAnalyte","Not fully automatable: sampleID in swc_externalLabDataByAnalyte corresponds to isotopePOMSampleID or isotopePOMRep2SampleID in swc_asiPOMFieldData","Not fully automatable: sampleID in swc_externalLabDataByAnalyte corresponds to isotopePOMSampleID or isotopePOMRep2SampleID in swc_asiPOMFieldData"
"swc_asiPOMFieldData","swc_fieldData","parentSampleID","parentSampleID"
"swc_asiPOMFieldData","swc_fieldSuperParent","parentSampleID","parentSampleID"
"swc_domainLabData","swc_externalLabDataByAnalyte","Requires intermediate table: join via swc_fieldData table","Requires intermediate table: join via swc_fieldData table"
"swc_domainLabData","swc_fieldSuperParent","parentSampleID","parentSampleID"
"swc_externalLabDataByAnalyte","swc_fieldSuperParent","Requires intermediate table: join via swc_fieldData table","Requires intermediate table: join via swc_fieldData table"
"swc_externalLabSummaryData","Any other table","Join not recommended.  Relevant quality control data can be connected to analytes by overlap of analysisDate with labSpecific start and end dates.","Join not recommended.  Relevant quality control data can be connected to analytes by overlap of analysisDate with labSpecific start and end dates."
"sdg_fieldSuperParent","sdg_fieldData","parentSampleID","parentSampleID"
"sdg_fieldDataAir","sdg_externalLabData","Not fully automatable: referenceAirSampleID is one of the sample types reported in sdg_externalLabData as sampleID. See Standard Calculations.","Not fully automatable: referenceAirSampleID is one of the sample types reported in sdg_externalLabData as sampleID. See Standard Calculations."
"sdg_fieldDataProc","sdg_externalLabData","Not fully automatable: equilibratedAirSampleID is one of the sample types reported in sdg_externalLabData as sampleID. See Standard Calculations.","Not fully automatable: equilibratedAirSampleID is one of the sample types reported in sdg_externalLabData as sampleID. See Standard Calculations."
"sdg_externalLabData","sdg_fieldData","Requires intermediate table: join via sdg_fieldDataProc table","Requires intermediate table: join via sdg_fieldDataProc table"
"sdg_externalLabData","sdg_fieldSuperParent","Requires intermediate table: join via the sdg_fieldDataProc and sdg_fieldData tables","Requires intermediate table: join via the sdg_fieldDataProc and sdg_fieldData tables"
"sdg_fieldData","sdg_fieldDataAir","Join not recommended: samples are collected at the same date and site, but do not line up record by record. sdg_fieldDataProc contains records of the mixture of samples sourced from these two tables.","Join not recommended: samples are collected at the same date and site, but do not line up record by record. sdg_fieldDataProc contains records of the mixture of samples sourced from these two tables."
"sdg_fieldData","sdg_fieldDataProc","waterSampleID","waterSampleID"
"sdg_fieldDataAir","sdg_fieldDataProc","referenceAirSampleID","referenceAirSampleID"
"sdg_fieldDataAir","sdg_fieldSuperParent","Join not recommended: samples are collected at the same date and site, but do not line up record by record.","Join not recommended: samples are collected at the same date and site, but do not line up record by record."
"sdg_fieldDataProc","sdg_fieldSuperParent","Requires intermediate table: join via sdg_fieldData table","Requires intermediate table: join via sdg_fieldData table"
"sdg_externalLabSummaryData","Any other table","Join not recommended.  Relevant quality control data can be connected to analytes by overlap of analysisDate with labSpecific start and end dates.","Join not recommended.  Relevant quality control data can be connected to analytes by overlap of analysisDate with labSpecific start and end dates."
"fsh_fieldData","fsh_perPass","reachID","reachID"
"fsh_perFish","fsh_perPass","eventID","eventID"
"fsh_bulkCount","fsh_perPass","eventID","eventID"
"fsh_morphospecies","fsh_perFish","morphospeciesID","morphospeciesID"
"fsh_morphospecies","fsh_bulkCount","morphospeciesID","morphospeciesID"
"fsh_fieldData","fsh_morphospecies","Join not recommended: data can be related via date of sampling","Join not recommended: data can be related via date of sampling"
"fsh_perPass","fsh_morphospecies","Join not recommended: data can be related via date of sampling","Join not recommended: data can be related via date of sampling"
"fsh_bulkCount","fsh_fieldData","Join not recommended: data can be related via date of sampling","Join not recommended: data can be related via date of sampling"
"fsh_bulkCount","fsh_perFish","eventID","eventID"
"fsh_fieldData","fsh_perFish","Join not recommended: data can be related via date of sampling","Join not recommended: data can be related via date of sampling"
"inv_fieldData","inv_persample","sampleID","sampleID"
"inv_persample","inv_taxonomyRaw","sampleID","sampleID"
"inv_persample","inv_taxonomyProcessed","sampleID","sampleID"
"inv_fieldData","inv_taxonomyRaw","sampleID","sampleID"
"inv_fieldData","inv_taxonomyProcessed","sampleID","sampleID"
"inv_taxonomyRaw","inv_taxonomyProcessed","sampleID","sampleID"
"inv_fieldData","inv_pervial","sampleID","sampleID"
"inv_persample","inv_pervial","sampleID","sampleID"
"inv_taxonomyRaw","inv_pervial","sampleID","sampleID"
"inv_taxonomyProcessed","inv_pervial","sampleID","sampleID"
"inv_fieldData","inv_dnaExtraction","geneticSampleID","geneticSampleID"
"inv_dnaExtraction","inv_pcrAmplification","dnaSampleID","dnaSampleID"
"inv_dnaExtraction","inv_markerGeneSequencing","dnaSampleID","dnaSampleID"
"inv_dnaExtraction","inv_dnaRawDataFiles","dnaSampleID","dnaSampleID"
"inv_dnaExtractionStandard","inv_pcrAmplificationStandard","dnaSampleID","dnaSampleID"
"inv_dnaExtractionStandard","inv_markerGeneSequencingStandard","dnaSampleID","dnaSampleID"
"inv_dnaExtractionStandard","inv_dnaRawDataFilesStandard","dnaSampleID","dnaSampleID"
"inv_dnaExtraction","inv_metabarcodeTaxonomy","dnaSampleID","dnaSampleID"
"inv_dnaRawDataFiles","inv_fieldData","Requires intermediate table: join via inv_dnaExtraction table","Requires intermediate table: join via inv_dnaExtraction table"
"inv_dnaRawDataFiles","inv_markerGeneSequencing","dnaSampleID","dnaSampleID"
"inv_dnaRawDataFiles","inv_metabarcodeTaxonomy","dnaSampleID","dnaSampleID"
"inv_dnaRawDataFiles","inv_pcrAmplification","dnaSampleID","dnaSampleID"
"inv_fieldData","inv_markerGeneSequencing","Requires intermediate table: join via inv_dnaExtraction table","Requires intermediate table: join via inv_dnaExtraction table"
"inv_fieldData","inv_metabarcodeTaxonomy","Requires intermediate table: join via inv_dnaExtraction table","Requires intermediate table: join via inv_dnaExtraction table"
"inv_fieldData","inv_pcrAmplification","Requires intermediate table: join via inv_dnaExtraction table","Requires intermediate table: join via inv_dnaExtraction table"
"inv_markerGeneSequencing","inv_metabarcodeTaxonomy","dnaSampleID","dnaSampleID"
"inv_markerGeneSequencing","inv_pcrAmplification","dnaSampleID","dnaSampleID"
"inv_metabarcodeTaxonomy","inv_pcrAmplification","dnaSampleID","dnaSampleID"
"inv_dnaExtractionStandard","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"inv_dnaRawDataFilesStandard","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"inv_dnaStandardTaxon","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"inv_markerGeneSequencingStandard","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"inv_metabarcodeSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"inv_metabarcodeTaxonList","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"inv_pcrAmplificationStandard","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"amc_fieldSuperParent","amc_fieldCellCounts","parentSampleID","parentSampleID"
"amc_fieldCellCounts","amc_cellCounts","cellCountSampleID","cellCountSampleID"
"amc_cellCounts","amc_fieldSuperParent","Requires intermediate table: join via amc_fieldCellCounts table","Requires intermediate table: join via amc_fieldCellCounts table"
"amc_cellCountLabSummary","Any other table","Join not recommended. Data can be connected by laboratoryName and overlap of testedDate with lab-specific dates","Join not recommended. Data can be connected by laboratoryName and overlap of testedDate with lab-specific dates"
"mcc_swTaxonTableMetadata_16S","mcc_swTaxonTableMetadata_ITS","dnaSampleID","dnaSampleID"
"mcc_taxonTableLabSummary","mcc_swTaxonTableMetadata_16S","testMethod","testMethod"
"mcc_taxonTableLabSummary","mcc_swTaxonTableMetadata_ITS","testMethod","testMethod"
"alg_fieldData","alg_domainLabChemistry","parentSampleID","parentSampleID"
"alg_domainLabChemistry","alg_algaeExternalLabDataPerSample","sampleID","sampleID"
"alg_algaeExternalLabDataPerSample","alg_fieldData","Requires intermediate table: join via alg_domainLabChemistry table","Requires intermediate table: join via alg_domainLabChemistry table"
"alg_algaeExternalLabDataPerSample","alg_algaeExternalLabQA","Join not recommended. Users interested in data quality can join by batchID, analyte, this will create a longer table that includes blanks and standards.","Join not recommended. Users interested in data quality can join by batchID, analyte, this will create a longer table that includes blanks and standards."
"asi_externalLabPOMSummaryData","Any other table","Join not recommended. Quality control data can be connected to analyses by laboratoryName, analyte, and overlap of analysisDate with lab-specific start and end dates.","Join not recommended. Quality control data can be connected to analyses by laboratoryName, analyte, and overlap of analysisDate with lab-specific start and end dates."
"alg_fieldData","alg_biomass","parentSampleID","parentSampleID"
"alg_biomass","alg_taxonomyProcessed","sampleID","sampleID"
"alg_biomass","alg_taxonomyRaw","sampleID","sampleID"
"alg_fieldData","alg_taxonomyProcessed","Requires intermediate table: join via alg_biomass table","Requires intermediate table: join via alg_biomass table"
"alg_fieldData","alg_taxonomyRaw","Requires intermediate table: join via alg_biomass table","Requires intermediate table: join via alg_biomass table"
"alg_qualityCheck","alg_taxonomyProcessed","sampleID, algalAnalysisMethod","sampleID, algalAnalysisMethod"
"alg_qualityCheck","alg_taxonomyRaw","sampleID, algalAnalysisMethod","sampleID, algalAnalysisMethod"
"alg_taxonomyProcessed","alg_taxonomyRaw","Join not recommended.","Join not recommended."
"alg_archive","Any other table","Join not recommended. This table is an account of subsamples shipped to the biorepository.","Join not recommended. This table is an account of subsamples shipped to the biorepository."
"alg_biovolumes","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"rea_fieldData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations"
"rea_backgroundFieldSaltData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations"
"rea_backgroundFieldCondData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations"
"rea_plateauSampleFieldData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations"
"rea_plateauMeasurementFieldData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations"
"rea_widthFieldData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations"
"rea_conductivityFieldData","Any other table","Join not recommended: Frequency of conductivity data is much higher than any other table, see Standard Calculations.","Join not recommended: Frequency of conductivity data is much higher than any other table, see Standard Calculations."
"rea_externalLabDataSalt","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations"
"rea_externalLabDataGas","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations"
"sbd_fieldData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations"
"sbd_backgroundFieldSaltData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations"
"sbd_backgroundFieldCondData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations"
"sbd_plateauSampleFieldData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations"
"sbd_plateauMeasurementFieldData","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations"
"sbd_conductivityFieldData","Any other table","Join not recommended: conductivity data are measured at much higher frequency than other tables, see Standard Calculations","Join not recommended: conductivity data are measured at much higher frequency than other tables, see Standard Calculations"
"sbd_externalLabDataSalt","Any other table","Join not recommended: See Standard Calculations","Join not recommended: See Standard Calculations"
"asc_fieldDataStation","asc_fieldDataZone","sedimentSampleID","sedimentSampleID"
"asc_fieldDataStation","asc_fieldDataPoint","sedimentSampleID","sedimentSampleID"
"asc_fieldDataStation","asc_externalLabData","Not fully automatable: sampleID in asc_externalLabData corresponds to carbonSedimentSampleID, organicSedimentSampleID, and inorganicSedimentSampleID in asc_fieldDataStation","Not fully automatable: sampleID in asc_externalLabData corresponds to carbonSedimentSampleID, organicSedimentSampleID, and inorganicSedimentSampleID in asc_fieldDataStation"
"asc_externalLabData","asc_fieldDataPoint","Requires intermediate table: join via asc_fieldDataStation table","Requires intermediate table: join via asc_fieldDataStation table"
"asc_externalLabData","asc_fieldDataZone","Requires intermediate table: join via asc_fieldDataStation table","Requires intermediate table: join via asc_fieldDataStation table"
"asc_fieldDataPoint","asc_fieldDataZone","sedimentSampleID","sedimentSampleID"
"asc_externalLabSummary","Any other table","Join not recommended. Match by laboratoryName, analyte, method, and overlap of analysisDate with externalLabSummary dates.","Join not recommended. Match by laboratoryName, analyte, method, and overlap of analysisDate with externalLabSummary dates."
"asc_fieldDataStation","asc_fieldDataZone","sedimentSampleID","sedimentSampleID"
"asc_fieldDataStation","asc_fieldDataPoint","sedimentSampleID","sedimentSampleID"
"asc_fieldDataStation","asp_externalLabData","physicalSedimentSampleID","sampleID"
"asi_fieldSuperParent","asi_fieldData","parentSampleID","parentSampleID"
"asi_fieldData","asi_POMExternalLabDataPerSample","isotopePOMSampleID,isotopePOMRep2SampleID","sampleID"
"asi_fieldData","asi_externalLabH2OIsotopes","isotopeH2OSampleID","isotopeH2OSampleID"
"asi_externalLabH2OIsotopes","asi_fieldSuperParent","Requires intermediate table: join via asi_fieldData table",""
"asi_externalLabH2OIsotopes","asi_POMExternalLabDataPerSample","Requires intermediate table: join via asi_fieldData table",""
"asi_fieldSuperParent","asi_POMExternalLabDataPerSample","Requires intermediate table: join via asi_fieldData table",""
"asi_externalLabPOMSummaryData","Any other table","Join not recommended. Data resolution does not match other tables.",""
"asi_externalLabSummaryData","Any other table","Join not recommended. Data resolution does not match other tables.",""
"zoo_fieldData","zoo_perSample","sampleID","sampleID"
"zoo_perSample","zoo_taxonomyRaw","sampleID","sampleID"
"zoo_perSample","zoo_taxonomyProcessed","sampleID","sampleID"
"zoo_taxonomyRaw","zoo_perVial","sampleID","sampleID"
"zoo_taxonomyProcessed","zoo_perVial","sampleID","sampleID"
"zoo_fieldData","zoo_perVial","sampleID","sampleID"
"zoo_perSample","zoo_perVial","sampleID","sampleID"
"zoo_fieldData","zoo_taxonomyProcessed","sampleID","sampleID"
"zoo_fieldData","zoo_taxonomyRaw","sampleID","sampleID"
"zoo_taxonomyProcessed","zoo_taxonomyRaw","sampleID","sampleID"
"zoo_fieldData","zoo_dnaExtraction","geneticSampleID","geneticSampleID"
"zoo_dnaExtraction","zoo_pcrAmplification","dnaSampleID","dnaSampleID"
"zoo_dnaExtraction","zoo_markerGeneSequencing","dnaSampleID","dnaSampleID"
"zoo_dnaExtraction","zoo_dnaRawDataFiles","dnaSampleID","dnaSampleID"
"inv_dnaExtractionStandard","inv_pcrAmplificationStandard","dnaSampleID","dnaSampleID"
"inv_dnaExtractionStandard","inv_markerGeneSequencingStandard","dnaSampleID","dnaSampleID"
"inv_dnaExtractionStandard","inv_dnaRawDataFilesStandard","dnaSampleID","dnaSampleID"
"zoo_dnaExtraction","zoo_metabarcodeTaxonomy","dnaSampleID","dnaSampleID"
"zoo_dnaRawDataFiles","zoo_fieldData","Requires intermediate table: join via zoo_dnaExtraction table","Requires intermediate table: join via zoo_dnaExtraction table"
"zoo_dnaRawDataFiles","zoo_markerGeneSequencing","dnaSampleID","dnaSampleID"
"zoo_dnaRawDataFiles","zoo_metabarcodeTaxonomy","dnaSampleID","dnaSampleID"
"zoo_dnaRawDataFiles","zoo_pcrAmplification","dnaSampleID","dnaSampleID"
"zoo_fieldData","zoo_markerGeneSequencing","Requires intermediate table: join via zoo_dnaExtraction table","Requires intermediate table: join via zoo_dnaExtraction table"
"zoo_fieldData","zoo_metabarcodeTaxonomy","Requires intermediate table: join via zoo_dnaExtraction table","Requires intermediate table: join via zoo_dnaExtraction table"
"zoo_fieldData","zoo_pcrAmplification","Requires intermediate table: join via zoo_dnaExtraction table","Requires intermediate table: join via zoo_dnaExtraction table"
"zoo_markerGeneSequencing","zoo_metabarcodeTaxonomy","dnaSampleID","dnaSampleID"
"zoo_markerGeneSequencing","zoo_pcrAmplification","dnaSampleID","dnaSampleID"
"zoo_metabarcodeTaxonomy","zoo_pcrAmplification","dnaSampleID","dnaSampleID"
"inv_dnaExtractionStandard","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"inv_dnaRawDataFilesStandard","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"inv_markerGeneSequencingStandard","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"inv_metabarcodeSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"inv_metabarcodeTaxonList","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"inv_pcrAmplificationStandard","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"dep_profileHeader","dep_profileData","eventID","eventID"
"gsi_fieldSuperParent","gsi_fieldData","parentSampleID","parentSampleID"
"gsi_fieldData","gwc_wellStabilization","parentSampleID","parentSampleID"
"gsi_fieldData","gsi_externalLabH2OIsotopes","isotopeH2OSampleID","isotopeH2OSampleID"
"gsi_externalLabH2OIsotopes","gsi_fieldSuperParent","Requires intermediate table: join via gsi_fieldData","Requires intermediate table: join via gsi_fieldData"
"gsi_externalLabH2OIsotopes","gsi_wellStabilization","Requires intermediate table: join via gsi_fieldData","Requires intermediate table: join via gsi_fieldData"
"gsi_fieldData","gsi_wellStabilization","parentSampleID","parentSampleID"
"gsi_fieldSuperParent","gsi_wellStabilization","parentSampleID","parentSampleID"
"asi_externalLabSummaryData","Any other table","Join not recommended. Data can be related by analyte, laboratory, and overlap of labSpecific start and end dates with analysis dates.","Join not recommended. Data can be related by analyte, laboratory, and overlap of labSpecific start and end dates with analysis dates."
"mga_batchResults","mga_benthicGroupAbundances","batchID","batchID"
"mga_benthicGroupAbundances","amb_fieldParent","geneticSampleID","geneticSampleID"
"mga_labSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"mga_batchResults","mga_swGroupAbundances","batchID","batchID"
"mga_swGroupAbundances","amc_fieldCellCounts","geneticSampleID","geneticSampleID"
"mga_labSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables."
"amb_fieldParent","mms_benthicMetagenomeDnaExtraction","metagenomicsSampleID","genomicsSampleID"
"mms_benthicMetagenomeDnaExtraction","mms_benthicMetagenomeSequencing","dnaSampleID","dnaSampleID"
"mms_benthicMetagenomeSequencing","mms_benthicRawDataFiles","dnaSampleID","dnaSampleID"
"amb_fieldParent","mms_benthicMetagenomeSequencing","Requires intermediate table: join via mms_benthicMetagenomeDnaExtraction",""
"amb_fieldParent","mms_benthicRawDataFiles","Requires intermediate table: join via mms_benthicMetagenomeDnaExtraction",""
"mms_benthicMetagenomeDnaExtraction","mms_benthicRawDataFiles","dnaSampleID","dnaSampleID"
"mmg_benthicDnaExtraction","mmg_benthicPcrAmplification_16S","dnaSampleID","dnaSampleID"
"mmg_benthicDnaExtraction","mmg_benthicPcrAmplification_ITS","dnaSampleID","dnaSampleID"
"mmg_benthicPcrAmplification_16S","mmg_benthicMarkerGeneSequencing_16S","dnaSampleID","dnaSampleID"
"mmg_benthicPcrAmplification_ITS","mmg_benthicMarkerGeneSequencing_ITS","dnaSampleID","dnaSampleID"
"mmg_benthicMarkerGeneSequencing_16S","mmg_benthicRawDataFiles","Not fully automatable: Filter the raw data table to only 16S samples, then join on dnaSampleID","Not fully automatable: Filter the raw data table to only 16S samples, then join on dnaSampleID"
"mmg_benthicMarkerGeneSequencing_ITS","mmg_benthicRawDataFiles","Not fully automatable: Filter the raw data table to only ITS samples, then join on dnaSampleID","Not fully automatable: Filter the raw data table to only ITS samples, then join on dnaSampleID"
"mmg_benthicDnaExtraction","amb_fieldParent","geneticSampleID","geneticSampleID"
"mmg_benthicMarkerGeneSequencing_16S","mcc_benthicSeqVariantMetadata_16S","dnaSampleID","dnaSampleID"
"mmg_benthicMarkerGeneSequencing_ITS","mcc_benthicSeqVariantMetadata_ITS","dnaSampleID","dnaSampleID"
"amb_fieldParent","mmg_benthicMarkerGeneSequencing_16S","Requires intermediate table: join via mmg_benthicDnaExtraction table","Requires intermediate table: join via mmg_benthicDnaExtraction table"
"amb_fieldParent","mmg_benthicMarkerGeneSequencing_ITS","Requires intermediate table: join via mmg_benthicDnaExtraction table","Requires intermediate table: join via mmg_benthicDnaExtraction table"
"amb_fieldParent","mmg_benthicPcrAmplification_16S","Requires intermediate table: join via mmg_benthicDnaExtraction table","Requires intermediate table: join via mmg_benthicDnaExtraction table"
"amb_fieldParent","mmg_benthicPcrAmplification_ITS","Requires intermediate table: join via mmg_benthicDnaExtraction table","Requires intermediate table: join via mmg_benthicDnaExtraction table"
"amb_fieldParent","mmg_benthicRawDataFiles","Requires intermediate table: join via mmg_benthicDnaExtraction table","Requires intermediate table: join via mmg_benthicDnaExtraction table"
"mmg_benthicDnaExtraction","mmg_benthicMarkerGeneSequencing_16S","dnaSampleID","dnaSampleID"
"mmg_benthicDnaExtraction","mmg_benthicMarkerGeneSequencing_ITS","dnaSampleID","dnaSampleID"
"mmg_benthicDnaExtraction","mmg_benthicRawDataFiles","dnaSampleID","dnaSampleID"
"mmg_benthicMarkerGeneSequencing_16S","mmg_benthicMarkerGeneSequencing_ITS","Join not recommended: different sequencing types","Join not recommended: different sequencing types"
"mmg_benthicMarkerGeneSequencing_16S","mmg_benthicPcrAmplification_ITS","Join not recommended: different sequencing types","Join not recommended: different sequencing types"
"mmg_benthicMarkerGeneSequencing_ITS","mmg_benthicPcrAmplification_16S","Join not recommended: different sequencing types","Join not recommended: different sequencing types"
"mmg_benthicPcrAmplification_16S","mmg_benthicPcrAmplification_ITS","Join not recommended: different sequencing types","Join not recommended: different sequencing types"
"mmg_benthicPcrAmplification_16S","mmg_benthicRawDataFiles","Not fully automatable: Filter the raw data table to only 16S samples, then join on dnaSampleID","Not fully automatable: Filter the raw data table to only 16S samples, then join on dnaSampleID"
