Data Product,DPID,Measurement,Collection methodology,Images,Image legend,Maintenance and calibration,"Download contents - file list to be populated dynamically by portal. For this section, review current table descriptions.",Data processing and derivation,Data quality,Standard calculations,Table joining,More information,DP citation,"DPUG review comments - for OS data products, provide input on current DPUG here.","Data accessibility/documentation comments - for all data products, provide feedback on accessibility, clarity, any general data use issues.",
Canopy water content - flightline,DP2.30019.001,"Individual flight lines of 5 standard spectral indices (MSI, NDII, NDWI, NMDI, and WBI) known to be useful proxies of canopy water content. Valid data ranges vary across the indices and are detailed in the product ATBD.","NEON AOP instruments, including the NEON Imaging Spectrometer (NIS), are flown at 1000 m above ground level at 100 knots in flight lines that have 37% overlap. This results in reflectance spectra data for each pixel in over 420 discrete 5-nm bandpasses between 380 and 2500 nm with a spatial resolution corrected to 1 m. A variety of bandpasses are used to calculate and refine the spectral canopy water content indices for each individual north-south flightline in this data package. NEON sites are flown once per year with a target of 90% of maximum greenness or higher and at a minimum of 3 of every 4 years. Flight coverage is a minimum of 10 km by 10 km and covers both NEON tower and observational sampling sites. Aquatic sites, as well as those in Hawaii and Puerto Rico, are flown in the same fashion, but at reduced frequency.",,,"Calibration activities are conducted on the NIS every winter between flight seasons in the NEON AOP lab where it measures known radiance sources in a controlled environment. Calibration/validation flights are flown at the beginning and end of every flight season for positional and timing accuracy as well as measuring radiance and reflectance over well-characterized, homogenous targets. In each domain collected, an in-situ calibration is conducted where the NIS records radiance from a known portable mercury lamp positioned directly under the sensor. Finally, at the start and end of each flight line flown, a set of on-board calibrations are made. These calibration activities allow any variances in the spectral response of the focal plane to be characterized, recorded, and tracked.",,"Each NIS flight line is processed from raw L0 DN to L1 radiance using the lab and onboard calibration information. Each radiance flight line is then orthorectified using a digital surface model from the co-collected lidar data. The orthorectified radiance flight lines are then processed to directional surface reflectance using the atmospheric correction and modeling package ATCOR. Canopy water content indices can then be calculated from the directional surface reflectance using the spectral band values that are characteristic to each index, producing the final unit-less values (and their associated uncertainty) written out to GeoTiff files for individual flight lines and indices.","Downloaded data include a quality report for each flight flown over a site, as well as the site as a whole, describing cloud conditions, positioning errors, parameters used for atmospheric corrections, and other data quality considerations and QA metrics made during collection and processing. Flightlines are each assigned color-coded cloud cover quality flags (green <10%, yellow 10%-50%, red >50%). An uncertainty raster is included for each spectral index.",NA,NA,,,NA,,
Canopy water content - mosaic,DP3.30019.001,"1 km by 1 km spatial tiles of 5 standard spectral indices (MSI, NDII, NDWI, NMDI, and WBI) known to be useful proxies of canopy water content, mosaicked from individual flightlines. Valid data ranges vary across the indices and are detailed in the product ATBD.","NEON AOP instruments, including the NEON Imaging Spectrometer (NIS), are flown at 1000 m above ground level at 100 knots in flight lines that have 37% overlap. This results in reflectance spectra data for each pixel in over 420 discrete 5-nm bandpasses between 380 and 2500 nm. A variety of bandpasses are used to calculate and refine the spectral canopy water content indices in this data package. This package contains mosaicked groupings of individual flightlines to provide indices for areas of 1 km x 1 km with spatial resolution corrected to 1 meter pixels whose values reflect that of the most-nadir pixel from the original flightline. NEON sites are flown once per year with a target of 90% of maximum greenness or higher and at a minimum of 3 of every 4 years. Flight coverage is a minimum of 10 km by 10 km and covers both NEON tower and observational sampling sites. Aquatic sites, as well as those in Hawaii and Puerto Rico, are flown in the same fashion, but at reduced frequency.",,,"Calibration activities are conducted on the NIS every winter between flight seasons in the NEON AOP lab where it measures known radiance sources in a controlled environment. Calibration/validation flights are flown at the beginning and end of every flight season for positional and timing accuracy as well as measuring radiance and reflectance over well-characterized, homogenous targets. In each domain collected, an in-situ calibration is conducted where the NIS records radiance from a known portable mercury lamp positioned directly under the sensor. Finally, at the start and end of each flight line flown, a set of on-board calibrations are made. These calibration activities allow any variances in the spectral response of the focal plane to be characterized, recorded, and tracked.",,"Each NIS flight line is processed from raw L0 DN to L1 radiance using the lab and onboard calibration information. Each radiance flight line is then orthorectified using a digital surface model from the co-collected lidar data. The orthorectified radiance flight lines are then processed to directional surface reflectance using the atmospheric correction and modeling package ATCOR. Canopy water content indices can then be calculated from the directional surface reflectance using the spectral band values that are characteristic to each index, producing the final unit-less values (and their associated uncertainty) written out to GeoTiff files. In this data package individual flightlines are mosaicked together to create 1 km x 1 km raster tiles for each index.","Downloaded data include a quality report for each flight flown over a site, as well as the site as a whole, describing cloud conditions, positioning errors, parameters used for atmospheric corrections, and other data quality considerations and QA metrics made during collection and processing. Flightlines are each assigned color-coded cloud cover quality flags (green <10%, yellow 10%-50%, red >50%). An uncertainty raster is included for each spectral index.",NA,NA,,,NA,"""<SITE>_L2_spectrometer_processing.pdf"" section 7.2 Water Indices references Table 9 for QA metrics when it should reference Table 10, at least for ABBY which I downloaded to view data for. Could be present for other sites if they are knit from the same template info",
Canopy xanthophyll cycle - flightline,DP2.30020.001,Canopy xanthophyll Photochemical Reflectance Index (PRI) from remotely sensed data; data are provided by flightline. PRI values typically range from -1 to 1.,"NEON AOP instruments, including the NEON Imaging Spectrometer (NIS), are flown at 1000 m above ground level at 100 knots in flight lines that have 37% overlap. This results in reflectance spectra data for each pixel in over 420 discrete 5-nm bandpasses between 380 and 2500 nm with a spatial resolution corrected to 1 m. Canopy xanthophyll Photochemical Reflectance Index (PRI) estimates the relative amount of xanthophyll pigments in vegetation and land cover using spectral bands at 531 nm and 570 nm for each individual north-south flightline in this data package. NEON sites are flown once per year with a target of 90% of maximum greenness or higher and at a minimum of 3 of every 4 years. Flight coverage is a minimum of 10 km by 10 km and covers both NEON tower and observational sampling sites. Aquatic sites, as well as those in Hawaii and Puerto Rico, are flown in the same fashion, but at reduced frequency.",,,"Calibration activities are conducted on the NIS every winter between flight seasons in the NEON AOP lab where it measures known radiance sources in a controlled environment. Calibration/validation flights are flown at the beginning and end of every flight season for positional and timing accuracy as well as measuring radiance and reflectance over well-characterized, homogenous targets. In each domain collected, an in-situ calibration is conducted where the NIS records radiance from a known portable mercury lamp positioned directly under the sensor. Finally, at the start and end of each flight line flown, a set of on-board calibrations are made. These calibration activities allow any variances in the spectral response of the focal plane to be characterized, recorded, and tracked.",,"Each NIS flight line is processed from raw L0 DN to L1 radiance using the lab and onboard calibration information. Each radiance flight line is then orthorectified using a digital surface model from the co-collected lidar data. The orthorectified radiance flight lines are then processed to directional surface reflectance using the atmospheric correction and modeling package ATCOR. The Canopy xanthophyll cycle Photochemical Reflectance Index can then be calculated from the directional surface reflectance using the spectral band values that are characteristic to the index, producing the final unit-less value (and associated uncertainty) written out to GeoTiff files for individual flight line.","Downloaded data include a quality report for each flight flown over a site, as well as the site as a whole, describing cloud conditions, positioning errors, parameters used for atmospheric corrections, and other data quality considerations and QA metrics made during collection and processing. Flightlines are each assigned color-coded cloud cover quality flags (green <10%, yellow 10%-50%, red >50%). An uncertainty raster is included for each spectral index.",NA,NA,,,NA,,
Canopy xanthophyll cycle - mosaic,DP3.30020.001,Canopy xanthophyll Photochemical Reflectance Index (PRI) from remotely sensed data; mosaicked product from flightlines. PRI values typically range from -1 to 1.,"NEON AOP instruments, including the NEON Imaging Spectrometer (NIS), are flown at 1000 m above ground level at 100 knots in flight lines that have 37% overlap. This results in reflectance spectra data for each pixel in over 420 discrete 5-nm bandpasses between 380 and 2500 nm with a spatial resolution corrected to 1 m. Canopy xanthophyll Photochecmical Reflectance index (PRI) estimates the relative amount of xanthophyll pigments in vegetation and land cover using spectral bands at 531 nm and 570 nm. This package contains mosaicked groupings of individual flightlines to provide relative canopy xanthophyll content according to PRI for areas of 1 km x 1 km with spatial resolution corrected to 1 meter pixels whose values reflect that of the most-nadir pixel from the original flightline. NEON sites are flown once per year with a target of 90% of maximum greenness or higher and at a minimum of 3 of every 4 years. Flight coverage is a minimum of 10 km by 10 km and covers both NEON tower and observational sampling sites. Aquatic sites, as well as those in Hawaii and Puerto Rico, are flown in the same fashion, but at reduced frequency.",,,"Calibration activities are conducted on the NIS every winter between flight seasons in the NEON AOP lab where it measures known radiance sources in a controlled environment. Calibration/validation flights are flown at the beginning and end of every flight season for positional and timing accuracy as well as measuring radiance and reflectance over well-characterized, homogenous targets. In each domain collected, an in-situ calibration is conducted where the NIS records radiance from a known portable mercury lamp positioned directly under the sensor. Finally, at the start and end of each flight line flown, a set of on-board calibrations are made. These calibration activities allow any variances in the spectral response of the focal plane to be characterized, recorded, and tracked.",,"Each NIS flight line is processed from raw L0 DN to L1 radiance using the lab and onboard calibration information. Each radiance flight line is then orthorectified using a digital surface model from the co-collected lidar data. The orthorectified radiance flight lines are then processed to directional surface reflectance using the atmospheric correction and modeling package ATCOR. The Canopy xanthophyll cycle Photochemical Reflectance Index can then be calculated from the directional surface reflectance using the spectral band values that are characteristic to the index, producing the final unit-less value (and associated uncertainty) written out to GeoTiff files. In this data package individual flightlines are mosaicked together to create 1 km x 1 km raster tiles for each index.","Downloaded data include a quality report for each flight flown over a site, as well as the site as a whole, describing cloud conditions, positioning errors, parameters used for atmospheric corrections, and other data quality considerations and QA metrics made during collection and processing. Flightlines are each assigned color-coded cloud cover quality flags (green <10%, yellow 10%-50%, red >50%). An uncertainty raster is included for each spectral index.",NA,NA,,,NA,,
Vegetation indices - spectrometer - flightline,DP2.30026.001,"Individual flight lines of 7 standard spectral indices (ARVI, EVI, NDLI, NDNI, NDVI, PRI, and SAVI) known to be useful proxies of vegetation health. Valid data ranges vary across the indices and are detailed in the product ATBD.","NEON AOP instruments, including the NEON Imaging Spectrometer (NIS), are flown at 1000 m above ground level at 100 knots in flight lines that have 37% overlap. This results in reflectance spectra data for each pixel in over 420 discrete 5-nm bandpasses between 380 and 2500 nm with a spatial resolution corrected to 1 m. A variety of bandpasses are used to calculate and refine the spectral vegetation indices for each individual north-south flightline in this data package. NEON sites are flown once per year with a target of 90% of maximum greenness or higher and at a minimum of 3 of every 4 years. Flight coverage is a minimum of 10 km by 10 km and covers both NEON tower and observational sampling sites. Aquatic sites, as well as those in Hawaii and Puerto Rico, are flown in the same fashion, but at reduced frequency.",,,"Calibration activities are conducted on the NIS every winter between flight seasons in the NEON AOP lab where it measures known radiance sources in a controlled environment. Calibration/validation flights are flown at the beginning and end of every flight season for positional and timing accuracy as well as measuring radiance and reflectance over well-characterized, homogenous targets. In each domain collected, an in-situ calibration is conducted where the NIS records radiance from a known portable mercury lamp positioned directly under the sensor. Finally, at the start and end of each flight line flown, a set of on-board calibrations are made. These calibration activities allow any variances in the spectral response of the focal plane to be characterized, recorded, and tracked.",,"Each NIS flight line is processed from raw L0 DN to L1 radiance using the lab and onboard calibration information. Each radiance flight line is then orthorectified using a digital surface model from the co-collected lidar data. The orthorectified radiance flight lines are then processed to directional surface reflectance using the atmospheric correction and modeling package ATCOR. Vegetation indices can then be calculated from the directional surface reflectance using the spectral band values that are characteristic to each index, producing the final unit-less values (and their associated uncertainty) written out to GeoTiff files for individual flight lines and indices.","Downloaded data include a quality report for each flight flown over a site, as well as the site as a whole, describing cloud conditions, positioning errors, parameters used for atmospheric corrections, and other data quality considerations and QA metrics made during collection and processing. Flightlines are each assigned color-coded cloud cover quality flags (green <10%, yellow 10%-50%, red >50%). An uncertainty raster is included for each spectral index.",NA,NA,,,NA,,
Vegetation indices - spectrometer - mosaic,DP3.30026.001,"1 km by 1 km spatial tiles of 7 standard spectral indices (ARVI, EVI, NDLI, NDNI, NDVI, PRI, and SAVI) known to be useful proxies of vegetation health, mosaicked from individual flightlines. Valid data ranges vary across the indices and are detailed in the product ATBD.","NEON AOP instruments, including the NEON Imaging Spectrometer (NIS), are flown at 1000 m above ground level at 100 knots in flight lines that have 37% overlap. This results in reflectance spectra data for each pixel in over 420 discrete 5-nm bandpasses between 380 and 2500 nm. A variety of bandpasses are used to calculate and refine the spectral vegetation indices in this data package. This package contains mosaicked groupings of individual flightlines to provide indices for areas of 1 km x 1 km with spatial resolution corrected to 1 meter pixels whose values reflect that of the most-nadir pixel from the original flightline. NEON sites are flown once per year with a target of 90% of maximum greenness or higher and at a minimum of 3 of every 4 years. Flight coverage is a minimum of 10 km by 10 km and covers both NEON tower and observational sampling sites. Aquatic sites, as well as those in Hawaii and Puerto Rico, are flown in the same fashion, but at reduced frequency.",,,"Calibration activities are conducted on the NIS every winter between flight seasons in the NEON AOP lab where it measures known radiance sources in a controlled environment. Calibration/validation flights are flown at the beginning and end of every flight season for positional and timing accuracy as well as measuring radiance and reflectance over well-characterized, homogenous targets. In each domain collected, an in-situ calibration is conducted where the NIS records radiance from a known portable mercury lamp positioned directly under the sensor. Finally, at the start and end of each flight line flown, a set of on-board calibrations are made. These calibration activities allow any variances in the spectral response of the focal plane to be characterized, recorded, and tracked.",,"Each NIS flight line is processed from raw L0 DN to L1 radiance using the lab and onboard calibration information. Each radiance flight line is then orthorectified using a digital surface model from the co-collected lidar data. The orthorectified radiance flight lines are then processed to directional surface reflectance using the atmospheric correction and modeling package ATCOR. Vegetation indices can then be calculated from the directional surface reflectance using the spectral band values that are characteristic to each index, producing the final unit-less values (and their associated uncertainty) written out to GeoTiff files. In this data package individual flightlines are mosaicked together to create 1 km x 1 km raster tiles for each index.","Downloaded data include a quality report for each flight flown over a site, as well as the site as a whole, describing cloud conditions, positioning errors, parameters used for atmospheric corrections, and other data quality considerations and QA metrics made during collection and processing. Flightlines are each assigned color-coded cloud cover quality flags (green <10%, yellow 10%-50%, red >50%). An uncertainty raster is included for each spectral index.",NA,NA,,,NA,,
Sediment chemical properties,DP1.20194.001,"Conentrations of carbon, nutrients, metals, and organic contaminants in wadeable stream, non-wadeable stream, and lake bed sediments","Aquatic sediment samples are collected in wadeable streams, rivers, and lakes twice annually, before and after peak productivity. Sediment samples are collected from 2 stations at each site: at wadeable streams and non-wadeable (large river) sites are divided in half longitudinally and sediment is collected throughout each half. In lakes, the two stations are near the buoy (the deep center point in the basin), and near the littoral zone sensors closer to the lake inlet (if evident, 1-2 m deep). At each sediment station, samples from several depositional zones are aggregated, homogenized, and distributed into separate containers by analyte type (inorganic, carbon, organic). Samples are sent to an external facility for a suite of chemical analysies. Specific field collection methodology is dependent on type of waterbody and the predominant sediment size composition. ",,,NA,,NA,"All analytical labs generating sediment chemical and physical data include standards alongside NEON samples. The data table asc_externalLabSummary, which is available in the sediment chemical and physical properties data product expanded packages, contains the long-term precision and accuracy of lab analyses.
The external lab also reports quality flags in the following fields: 'externalQualifier', 'extendedQualifier1', 'extendedQualifier2', 'extendedQualifier3', 'extendedQualifier4' and 'extendedQualifier5' in asc_externalLabData. These quality flags are defined in section 4.5 of the NEON User Guide to Aquatic Sediment Chemical and Physical Properties. ",NA,See DP1.20194.001 tables tab,,,"DPUG says- ""asc_externalLabSummaryData - > One record expected per laboratoryName x analyte x method x labSpecificStartDate combination. Can use corresponding variables in asc_externalLabData to associate sample data with
relevant uncertainty values and method detection limits.""  -- asc_externalLabData does not contain 'labSpecificStartDate' variable.

In section 4.5, table asc_externalLabBatchQA is described as a reference table for quality flags. This is not a published table, so we should not reference it in the DPUG",-Should external lab protocols/SOPs be included in DP download package?          -Might be easier for users if sample IDs per analyte (used in the externalLabData file) were stacked in the fieldDataStation file so that they don't have to do multiple joins with the same 2 files to get all the analyte types. ,
Sediment physical properties,DP1.20197.001,"Classification of size and texture of aquatic sediments in wadeable streams, lakes and rivers. ","Aquatic sediment samples are collected in wadeable streams, rivers, and lakes twice annually, before and after peak productivity. Sediment samples are collected from 2 stations at each site: at wadeable streams and non-wadeable (large river) sites are divided in half longitudinally and sediment is collected throughout each half. In lakes, the two stations are near the buoy (the deep center point in the basin), and near the littoral zone sensors closer to the lake inlet (if evident, 1-2 m deep). At each sediment station, samples from several depositional zones are aggregated, homogenized, homogenized and distributed into a container for analysis. Samples are sent to an external facility for sediment size analyses. Specific field collection methodology is dependent on type of waterbody and the predominant sediment size composition. ",,,NA,,NA,"
The external lab reports quality flags in the following fields: 'externalQualifier', 'extendedQualifier1', 'extendedQualifier2', 'extendedQualifier3', 'extendedQualifier4' and 'extendedQualifier5' in asp_externalLabData. These quality flags are defined in section 4.5 of the NEON User Guide to Aquatic Sediment Chemical and Physical Properties. ",NA,See DP1.20197.001 tables tab,,,,acs_externalLabSummary does not seem to have any information relevant to physical properties/sed size. Should this be removed from the download list since it is already included with chemical properties DP? ,
Stream discharge field collection,DP1.20048.001,Staff gauge height and discharge data are measured at each stream site regularly throughout the water year. During each discharge measurement water depth (m) and velocity (L/s) are measured and associated with a gauge height.   ,"At stream sites, permanent discharge transects are located near sensor set 1 (S1) or sensor set 2 (S2) on a riffle or a run. A meter tape, wading rod, and velocity meter are used to collect point velocity and depth measurements across the stream with the goal of 20-25 evenly spaces measurements for streams with a width of more than 2m. The minimum distance between points is 0.05m regardless of stream width.  Staff gauge height is recorded before and after each discharge measurement in order to build the stage-discharge rating curve.",N/A,N/A,"Before each discharge wading survey, the velocity meter must be calibrated. This is done by placing the velocity meter and attached wading rod into a bucket of still stream water and verifying the velocity of the water in the bucket is 0.",,Detailed steps for data processing can be found in the NEON Algorithm Theoretical Basis Document: OS Generic Transitions.,"Discharge data is quality checked to ensure the location values are correct and valid NEON sites. It is also checked to ensure that the distance along the transect increases with each new sampling point. Finally, the data is checked to ensure the velocity measurements contain valid depth values",Velocity x area (depth x width) = discharge,This data product can be joined to Level 4 data products Stream Discharge Rating Curve and Continuous Stream Discharge by siteID.,,,,,
Stream discharge rating curve,DP4.00133.001,"The stage-discharge rating curve is a visual representation of the annual relationship between water level (stage, m) and stream discharge (m3/s, lps).  ",Level 4 data is the product of Level 0 and higher data product inputs with occasional calculations. For details on stream discharge collection see Discharge Protocol/User Guide. NEON rating curves are developed using Bayesian modeling methods based on the Bayesian Rating Curve Advanced Graphical Environment (BaRatinAGE). Rating curves are updated at the end of each water year (October 1 - September 30).,,"Example rating curve (red) with parametric uncertainty (light red shading). Blue line and shading represent “prior” rating curve and parametric uncertainty using information based on hydraulic controls only, respectively. Picture from “Rating Curve” documentation for BaRatinAGE (Le Coz, 2013; Le Coz, 2014)",n/a,,"A Docker container with R coding is used to recreate the rating curve every 366 days to produce the annual rating curve. Hydraulic controls are used to develop the “prior” rating curve. These hydraulic controls physical dimensions and the number of controls selected in addition to the physical dimensions of the channel are derived from cross-section survey data. Using these products, an exponential equation is created for each and calculated. With Bayesian estimation and Markov Chain Monte Carlo sampling, a “posterior” rating curve can be fit using the “prior” rating curve created earlier and gauge height","Rating curves are site specific and will be remade if the discharge transect or staff gauge are relocated. Instances where the recalculated discharge value differs from the L1 published discharge value are assigned as recalculatedL1QF. Because this data product requires input from lower level products, flags are L1 data are denoted with L1DataQF",,See DP1.00133.001 tables tab,,,,,
Stream discharge,DP4.00130.001,This data product is Level 4 stream discharge data that has values calculated every minute. This product is derived from pressure readings reported once per minute and the stream discharge rating curve. Stream discharge is the volumetric rate of water that flows through a stream at a given location.  Discharge is dependent on water height and the cross-sectional area of the channel.  ,Stream discharge rating curves (DP4.00133) are used to compute continuous stream discharge.,n/a,n/a,n/a,,,"Quality control measures on Level 0 and Level 1 data products ensure the quality of Level 4 data products. NEON data downloads are published with expanded uncertainty of two standard deviations (multiplied by 1.96) however, the BaM executable used to process this level 4 data product represents uncertainty by 1 standard deviation. Dividing by 1.96 before writing out data is recommended.",,See DP4.00130.001 Tables tab,,,,,
Carbon dioxide flux,DP4.00067.001,Carbon dioxide flux in cubic meters per second (m^3/s),Carbon dioxide flux is estimated by using sonic anemometer measurements of vertical winds velocity and an infrared gas analyzer (IRGA) measurements of CO2 concentration. Vertical wind measurements are taken at the tower top and CO2 concentration measurements are taken at every measurement level of the tower. Measurements are representative of a spatial point in time and are made at 1 Hz (CO2 concentration) and 20 Hz (wind velocity). Data are published in 30-min temporally averaged data products.,,,"Preventative maintenance is performed when needed and includes monitoring and revaning pumps, monitoring and swapping gas cylinders, and swapping and cleaning inlets on the tower. Position of sonic anemometer is monitored by field staff. Calibration is performed annually.","Referenced readMe in the HDF file, found no issues",,"Each measurement is accompanied by a final quality flag (qfFinl). NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step, and spike tests, as well as a manually set science review flag if applicable.Each measurement is accompanied by an estimate of measurement uncertainty, expressed at the 95% confidence level, which comprises known and quantifiable uncertainties. ","Sensor height (zOffset; m) and the latitude, longitude (referenceLatitude, referenceLongitude; °), and elevation (m) of the tower reference corner are in the sensor positions file (...sensor_positions...csv). Use the HOR.VER component of the time series file name (horizontalPosition and verticalPosition if stacked using neonUtilities) to link to the corresponding row in the HOR.VER column of the sensor positions file.",,,,,,
Flux footprint characteristics,DP4.00201.001,Flux footprint characteristics determines where on the ground surface emissions originate from,Flux footprint characteristics are estimated using a footprint model described by Metzger et al. (2012) and measurements taken with a sonic anemometer at the top of the tower. Measurements are representative of a spatial point in time and are made at 20 Hz. Data are published in 30-min temporally averaged data products.,,,Position of sonic anemometer is monitored by field staff. Calibration is performed annually.,"Referenced readMe in the HDF file, found no issues",,"Each measurement is accompanied by a final quality flag (qfFinl). NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step, and spike tests, as well as a manually set science review flag if applicable.Each measurement is accompanied by an estimate of measurement uncertainty, expressed at the 95% confidence level, which comprises known and quantifiable uncertainties. ","Sensor height (zOffset; m) and the latitude, longitude (referenceLatitude, referenceLongitude; °), and elevation (m) of the tower reference corner are in the sensor positions file (...sensor_positions...csv). Use the HOR.VER component of the time series file name (horizontalPosition and verticalPosition if stacked using neonUtilities) to link to the corresponding row in the HOR.VER column of the sensor positions file.",,,,,,
Phenology images,DP1.00033.001,"RGB (red, green, blue) and IR (infrared) images of the plant canopy taken from an automated camera on the tower top. Images are collected every 15 minutes and closely follow protocols of the Phenocam Network.","RGB and IR images are catpured using a Stardot NetCam on the top of all terrestrial core and re-locatable towers to study above-canopy phenology. Every 15 minutes each camera captures back-to-back RGB and IR images separated by 30 seconds. Images are directly transmited to the Phenocam Network for analysis, archiving, and display.",,,Preventative maintenance for NEON Digital Network Cameras primarily targets cleaning the protective glass on the camera’s exterior environmental housing and verification of camera alignment.,,"Images are sent to and processed by PhenoCam, a cooperative network that archives and distributes imagery and derived data products from digital cameras deployed at research sites across North America and around the world.  NEON's phenocam images are available for viewing and downloading from the PhenoCam Gallery, along with images and data from other phenocam sites across the world.",Raw images are sent to the PhenoCam Network and undergo QA/QC via protocols outlined in Richardson et al. (2018). ,,,,,,The images are easy to access and use on the PhenoCam Network site.,"Richardson, Andrew D., et al. ""Tracking vegetation phenology across diverse North American biomes using PhenoCam imagery."" Scientific data 5 (2018): 180028."
Snow depth and understory phenology images,DP1.00042.001,"RGB (red, green, blue) and IR (infrared) images of the below-canopy phenology and mounted depth stakes that show snow depth taken from an automated camera on the tower.  Images are collected every 15 minutes and closely follow protocols of the Phenocam Network.","RGB and IR images are catpured using a Stardot NetCam on the bottom of all terrestrial core and re-locatable towers to study below-canopy phenology. The camera also captures images of snowdepth stakes.  Every 15 minutes each camera captures back-to-back RGB and IR images separated by 30 seconds. Images are directly transmited to the Phenocam Network for analysis, archiving, and display.",,TIS snow depth camera and staff gauges at D17 SOAP,Preventative maintenance for NEON Digital Network Cameras primarily targets cleaning the protective glass on the camera’s exterior environmental housing and verification of camera alignment. The snow depth staff gauges are regularly cleaned and cleared of obstructions,,"Images are sent to and processed by PhenoCam, a cooperative network that archives and distributes imagery and derived data products from digital cameras deployed at research sites across North America and around the world.  NEON's phenocam images are available for viewing and downloading from the PhenoCam Gallery, along with images and data from other phenocam sites across the world.",Raw images are sent to the PhenoCam Network and undergo QA/QC via protocols outlined in Richardson et al. (2018). ,,,,,,The images are easy to access and use on the PhenoCam Network site. The snow depth gauges are clear and easy to read in the images I examined.,
Soil CO2 concentration,DP1.00095.001,Soil CO2 concentration at given depths in parts per million (ppm),"Soil CO2 concentrations are measured using diffusion-based nondispersive infrared sensors at three depths in each soil plot. The nominal depth of the shallowest sensor is 2 cm, with the other sensors usually <20 cm deep. Measurements represent a point, are made at 0.1 Hz, and data are published as 1- and 30-min averages.",,Sensor-based soil plot at D08 LENO. Not all measurements are made in every soil plot. ,Preventative maintenance includes swapping desiccant packs and is typically performed every two weeks. Sensors are calibrated annually.,"Reviewed, no real issues, it would be nice if they were in order for big packages like these

NEON.DOC.000927vA is not included in the download,
NEON.DOC.001113vA is included in the download.",,"Each measurement is accompanied by a final quality flag (finalQF). NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step, and spike tests, as well as a manually set science review flag if applicable. Each measurement is accompanied by an estimate of measurement uncertainty, expressed at the 95% confidence level (soilCO2concentrationExpUncert), which comprises known and quantifiable uncertainties.","Sensor depth (zOffset; m) and the latitude, longitude (referenceLatitude, referenceLongitude; °), and elevation (m) of the soil plot reference corner are in the sensor positions file (...sensor_positions...csv). Use the HOR.VER component of the time series file name (horizontalPosition and verticalPosition if stacked using neonUtilities) to link to the corresponding row in the HOR.VER column of the sensor positions file. HOR indices 001-005 correspond to soil plots 1-5, and VER indices 501-503 typically increase with increasing depth.",,,,,,
Soil inorganic nitrogen pools and transformations,DP1.10080.001,"Extractable inorganic nitrogen (N) from initial and incubated cores, can be used to
calculated net N mineralization and nitrification rates","KCl-extractable inorganic N is measured on the bulk sample collected for soil microbial and biogeochemistry measurements. At the same time, in-situ covered cores (or buried bags for wetlands) are installed and incubated for 2-4 weeks, then recovered and extracted with KCl. 10 plots are sampled, with three replicates per plot. Inorganic N is measured by an external lab using standard colorimetric methods.",,"Lab processing steps for KCl extraction: weigh soil, add solution, cap, shake for 1 hour, then filter (not shown).","All KCl concentration data should be blank-corrected prior to downstream calculations. Negative blank-corrected concentrations mean the sample signal could not be measured above contaminant sources, e.g., essentially below detection.","Reviewed, no issues",Raw data are converted by the analytical laboratory into inorganic N concentrations using calibration curves bracketing the concentration range of samples.,"In the ntr_internalLab and ntr_externalLab tables, the field sampleCondition indicates anomolous conditions during extraction or lab analysis, respectively. In the ntr_externalLab table, the fields ammoniumNQF and nitrateNitriteNQF communicate common issues with sample or blank measurement data. As well, the dataQF field captures other, one-off types of quality issues. The expanded data package includes an external lab summary file (ntr_externalSummary) of method detection limits, precision, and accuracy for each analyte.","Standard calculations for determining net N mineralization and net nitrification rates from inorganic N concentrations in initial and incubated cores can be found in the Appendix of the NEON User Guide to Soil inorganic nitrogen pools and transformations, included in the data package. The NEON developed function def.calc.ntrans can be used to quickly make these calculations in R (https://github.com/NEONScience/NEON-Nitrogen-Transformations).","For paired initial and incubated cores, use the incubationPairID in the ntr_internalLab table to align samples. Join samples to their corresponding blanks using the kclReferenceID in the ntr_internalLab and ntr_internalLabBlanks tables. Join samples to their corresponding dry mass fraction values using the sampleID field in the ntr_internalLab and sls_soilMoisture tables, and sample data to inorganic N values using the sampleID or kclSampleID fields in the ntr_internalLab and ntr_externalLab tables.",,,,,
